sub_category,category,avg_discount,avg_margin,total_profit,total_revenue,total_qty,elasticity,pricing_action,urgency
Tables,Furniture,0.2612852664576803,-0.147726526347216,-17725.4811,206965.532,1241,2.099840403971189,STOP DISCOUNTING — margin negative; set floor price,CRITICAL
Bookcases,Furniture,0.211140350877193,-0.12664006830802496,-3472.556,114879.9963,868,0.6458740387903146,STOP DISCOUNTING — margin negative; set floor price,CRITICAL
Machines,Technology,0.3060869565217391,-0.07202622498274672,3384.7569,189238.631,440,-0.4526078713623542,STOP DISCOUNTING — margin negative; set floor price,CRITICAL
Appliances,Office Supplies,0.1665236051502146,-0.15686933714830714,18138.005400000002,107532.16100000001,1729,1.495880879597769,STOP DISCOUNTING — margin negative; set floor price,CRITICAL
Binders,Office Supplies,0.37253613666228647,-0.20002847130968024,30180.3357,203322.673,5968,-0.2925761739887286,STOP DISCOUNTING — margin negative; set floor price,CRITICAL
Chairs,Furniture,0.16996753246753246,0.044040468460111316,26602.2251,328167.73099999997,2354,-1.5642968182551873,Maintain current pricing; monitor quarterly,HIGH
Supplies,Office Supplies,0.0768421052631579,0.11203947368421051,-1189.0995,46673.538,647,-0.2251585039637892,Maintain current pricing; monitor quarterly,NORMAL
Fasteners,Office Supplies,0.08202764976958525,0.2991705069124424,949.5182,3024.28,914,0.7601988105760643,Price increase opportunity — inelastic demand,NORMAL
Labels,Office Supplies,0.06868131868131869,0.42966346153846147,5546.254,12486.312,1400,0.5186433718907975,Price increase opportunity — inelastic demand,NORMAL
Art,Office Supplies,0.07487437185929649,0.25164572864321605,6527.787,27118.792,3000,0.7057675005302454,Price increase opportunity — inelastic demand,NORMAL
Envelopes,Office Supplies,0.08031496062992127,0.4231397637795275,6964.1767,16476.402,906,-0.4027278460275042,Price increase opportunity — inelastic demand,NORMAL
Furnishings,Furniture,0.1384937238493724,0.13690638075313807,12976.0934,91418.784,3560,-0.2797953265343225,Maintain current pricing; monitor quarterly,NORMAL
Storage,Office Supplies,0.07479289940828403,0.0888757396449704,21120.9562,223299.228,3155,-1.7578239288379292,Maintain current pricing; monitor quarterly,NORMAL
Paper,Office Supplies,0.07500000000000001,0.4255427631578947,34009.4701,78384.406,5172,0.1534333857584202,Price increase opportunity — inelastic demand,NORMAL
Accessories,Technology,0.07813712807244502,0.21835381630012937,41867.822,166986.022,2963,1.1310984117647265,Price increase opportunity — inelastic demand,NORMAL
Phones,Technology,0.15455568053993252,0.11922197225346831,44515.7306,330007.054,3289,0.6191973577066241,Maintain current pricing; monitor quarterly,NORMAL
Copiers,Technology,0.16176470588235295,0.31719362745098034,55617.8249,149528.03,234,0.6686591919367725,Price increase opportunity — inelastic demand,NORMAL
